signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy,design
mux2x1_tb3.sel,4,0,0.0,0.0001176470588235,0.0001176470588235,0.7058823529411765,0,4,mux2x1_gl3
mux2x1_tb3.dut.a,3,0,0.0,0.0001111111111111,0.0001111111111111,0.5555555555555556,0,3,mux2x1_gl3
mux2x1_tb3.dut.b,5,0,0.0,0.0001470588235294,0.0001470588235294,0.5,0,5,mux2x1_gl3
mux2x1_tb3.dut.sel,4,0,0.0,0.0001176470588235,0.0001176470588235,0.7058823529411765,0,4,mux2x1_gl3
mux2x1_tb3.dut.out,3,0,0.0,0.0001111111111111,0.0001111111111111,0.3703703703703703,0,3,mux2x1_gl3
mux2x1_tb.out,1,0,0.0,7.692307692307693e-05,7.692307692307693e-05,0.0,0,1,mux2x1_gl
mux2x1_tb.a,3,0,0.0,0.0001111111111111,0.0001111111111111,0.6666666666666666,0,3,mux2x1_gl
mux2x1_tb.b,3,0,0.0,0.0001111111111111,0.0001111111111111,0.5185185185185185,0,3,mux2x1_gl
mux2x1_tb.sel,4,0,0.0,0.0001481481481481,0.0001481481481481,0.6296296296296297,0,4,mux2x1_gl
mux2x1_tb.dut.a,3,0,0.0,0.0001111111111111,0.0001111111111111,0.6666666666666666,0,3,mux2x1_gl
mux2x1_tb.dut.b,3,0,0.0,0.0001111111111111,0.0001111111111111,0.5185185185185185,0,3,mux2x1_gl
mux2x1_tb.dut.sel,4,0,0.0,0.0001481481481481,0.0001481481481481,0.6296296296296297,0,4,mux2x1_gl
mux2x1_tb.dut.out,1,0,0.0,7.692307692307693e-05,7.692307692307693e-05,0.0,0,1,mux2x1_gl
half_adder_tb3.SUM,5,0,0.0,0.000125,0.000125,0.75,0,5,half_adder_gl3
half_adder_tb3.CARRY,4,0,0.0,0.0001142857142857,0.0001142857142857,0.2857142857142857,0,4,half_adder_gl3
half_adder_tb3.t_a,2,0,0.0,5e-05,5e-05,0.625,0,2,half_adder_gl3
