signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle,design
mux4x1_tb3.dut.out,4,8.888888888888889e-05,2.2222222222222223e-05,8.88888888888889e-13,8.888888888888889e-05,0.3333333333333333,mux4x1_rtl3
mux4x1_tb3.dut.u1.a,4,0.0001333333333333,3.3333333333333335e-05,1.3333333333333334e-12,0.0001333333333333,0.6666666666666666,mux4x1_rtl3
mux4x1_tb3.dut.u1.b,5,0.0001111111111111,2.2222222222222223e-05,1.1111111111111112e-12,0.0001111111111111,0.2222222222222222,mux4x1_rtl3
mux4x1_tb3.dut.u1.sel,5,0.0001111111111111,2.2222222222222223e-05,1.1111111111111112e-12,0.0001111111111111,0.2222222222222222,mux4x1_rtl3
mux4x1_tb3.dut.u1.out,4,0.0001333333333333,3.3333333333333335e-05,1.3333333333333334e-12,0.0001333333333333,0.5,mux4x1_rtl3
mux4x1_tb3.dut.u2.a,4,8.888888888888889e-05,2.2222222222222223e-05,8.88888888888889e-13,8.888888888888889e-05,0.5555555555555556,mux4x1_rtl3
mux4x1_tb3.dut.u2.b,2,6.666666666666667e-05,3.3333333333333335e-05,6.666666666666667e-13,6.666666666666667e-05,0.6666666666666666,mux4x1_rtl3
mux4x1_tb3.dut.u2.sel,5,0.0001111111111111,2.2222222222222223e-05,1.1111111111111112e-12,0.0001111111111111,0.2222222222222222,mux4x1_rtl3
mux4x1_tb3.dut.u2.out,4,8.888888888888889e-05,2.2222222222222223e-05,8.88888888888889e-13,8.888888888888889e-05,0.5555555555555556,mux4x1_rtl3
mux4x1_tb3.dut.u3.a,4,0.0001333333333333,3.3333333333333335e-05,1.3333333333333334e-12,0.0001333333333333,0.5,mux4x1_rtl3
mux4x1_tb3.dut.u3.b,4,8.888888888888889e-05,2.2222222222222223e-05,8.88888888888889e-13,8.888888888888889e-05,0.5555555555555556,mux4x1_rtl3
mux4x1_tb3.dut.u3.sel,3,0.0001,3.3333333333333335e-05,1e-12,0.0001,0.3333333333333333,mux4x1_rtl3
mux4x1_tb3.dut.u3.out,4,8.888888888888889e-05,2.2222222222222223e-05,8.88888888888889e-13,8.888888888888889e-05,0.3333333333333333,mux4x1_rtl3
srff_tb.qb,7,0.00014,2e-05,1.4e-12,0.00014,0.32,srff_rtl
srff_tb.q,7,0.00014,2e-05,1.4e-12,0.00014,0.48,srff_rtl
srff_tb.clk[1:0],32,0.0005,1.5625e-05,5e-12,0.0005,0.0,srff_rtl
srff_tb.sr[1:0],9,0.0001525423728813,1.694915254237288e-05,1.5254237288135594e-12,0.0001525423728813,0.1525423728813559,srff_rtl
srff_tb.dut.clk[1:0],32,0.0005,1.5625e-05,5e-12,0.0005,0.0,srff_rtl
srff_tb.dut.sr[1:0],9,0.0001525423728813,1.694915254237288e-05,1.5254237288135594e-12,0.0001525423728813,0.1525423728813559,srff_rtl
srff_tb.dut.q,7,0.00014,2e-05,1.4e-12,0.00014,0.48,srff_rtl
srff_tb.dut.qb,7,0.00014,2e-05,1.4e-12,0.00014,0.32,srff_rtl
srff_tb3.qb,4,8.695652173913044e-05,2.173913043478261e-05,8.695652173913043e-13,8.695652173913044e-05,0.0869565217391304,srff_rtl3
srff_tb3.q,4,8.695652173913044e-05,2.173913043478261e-05,8.695652173913043e-13,8.695652173913044e-05,0.8695652173913043,srff_rtl3
srff_tb3.clk,26,0.0005,1.923076923076923e-05,5e-12,0.0005,0.5,srff_rtl3
srff_tb3.sr[1:0],8,0.0001860465116279,2.325581395348837e-05,1.8604651162790696e-12,0.0001860465116279,0.1860465116279069,srff_rtl3
srff_tb3.dut.clk,26,0.0005,1.923076923076923e-05,5e-12,0.0005,0.5,srff_rtl3
srff_tb3.dut.qb,4,8.695652173913044e-05,2.173913043478261e-05,8.695652173913043e-13,8.695652173913044e-05,0.0869565217391304,srff_rtl3
srff_tb3.dut.sr[1:0],8,0.0001860465116279,2.325581395348837e-05,1.8604651162790696e-12,0.0001860465116279,0.1860465116279069,srff_rtl3
srff_tb3.dut.q,4,8.695652173913044e-05,2.173913043478261e-05,8.695652173913043e-13,8.695652173913044e-05,0.8695652173913043,srff_rtl3
encoder4x2_tb.out[1:0],7,0.000175,2.5e-05,1.75e-12,0.000175,0.375,encoder4x2_rtl
encoder4x2_tb.d[3:0],8,0.0002,2.5e-05,2e-12,0.0002,0.125,encoder4x2_rtl
encoder4x2_tb.dut.d[3:0],8,0.0002,2.5e-05,2e-12,0.0002,0.125,encoder4x2_rtl
encoder4x2_tb.dut.out[1:0],7,0.000175,2.5e-05,1.75e-12,0.000175,0.375,encoder4x2_rtl
demux1x4_tb.o2,2,0.0001111111111111,5.555555555555556e-05,1.1111111111111112e-12,0.0001111111111111,0.3888888888888889,demux1x4_rtl
demux1x4_tb.o0,3,7.5e-05,2.5e-05,7.5e-13,7.5e-05,0.25,demux1x4_rtl
demux1x4_tb.a[3:0],4,0.0001,2.5e-05,1e-12,0.0001,0.0,demux1x4_rtl
demux1x4_tb.sel[1:0],6,0.00015,2.5e-05,1.5e-12,0.00015,0.375,demux1x4_rtl
demux1x4_tb.dut.a[3:0],4,0.0001,2.5e-05,1e-12,0.0001,0.0,demux1x4_rtl
demux1x4_tb.dut.sel[1:0],6,0.00015,2.5e-05,1.5e-12,0.00015,0.375,demux1x4_rtl
demux1x4_tb.dut.o0,3,7.5e-05,2.5e-05,7.5e-13,7.5e-05,0.25,demux1x4_rtl
demux1x4_tb.dut.o2,2,0.0001111111111111,5.555555555555556e-05,1.1111111111111112e-12,0.0001111111111111,0.3888888888888889,demux1x4_rtl
jkff_tb2.qb,6,0.0001578947368421,2.631578947368421e-05,1.5789473684210529e-12,0.0001578947368421,0.7368421052631579,jkff_rtl2
jkff_tb2.q,6,0.0001578947368421,2.631578947368421e-05,1.5789473684210529e-12,0.0001578947368421,0.2105263157894736,jkff_rtl2
jkff_tb2.clk,25,0.0005,2e-05,5e-12,0.0005,0.48,jkff_rtl2
jkff_tb2.jk[1:0],8,0.0001739130434782,2.173913043478261e-05,1.7391304347826086e-12,0.0001739130434782,0.4347826086956521,jkff_rtl2
